interfaceName,switchId,interfaceType,mode,networkOSType,adminState,allowedVlans,cdp,debounceTimer,description,extraConfig,fec,lacpPortPriority,lacpRate,policyType,portChannelId,portChannelMode,primaryInterface,ptp
Ethernet1/2,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d004-m3-04-2-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/3,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d010-m3-04-4-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/4,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d010-m3-04-4-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/5,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d016-m3-04-6-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/6,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d016-m3-04-6-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/7,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d022-m3-04-8-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/8,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d022-m3-04-8-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/9,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d028-m3-04-10-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/10,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d028-m3-04-10-nic2-port3,lacp rate fast,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/11,FLM300309AW,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d034-m3-04-12-nic1-port1,lacp rate fast,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
